0,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Class,theft
0,22.03597732,3.586220833,0.0,0.0,4.58992533,8.1892,136.5859027,123.9990759,3.33988,9.246946778,FullServiceRestaurant,Normal
1,14.64975748,0.0,0.0,0.0,1.52997511,7.4902,3.35988,0.0,3.33988,0.02,FullServiceRestaurant,Normal
2,14.66956666,0.0,0.0,0.0,1.52997511,7.4902,3.35988,0.0,3.33988,0.02,FullServiceRestaurant,Normal
3,14.67780801,0.0,0.0,0.0,1.52997511,7.4902,3.931931506,0.0,3.33988,0.592051506,FullServiceRestaurant,Normal
4,14.8247939,0.0,0.0,0.0,1.52997511,7.4902,3.35988,0.0,3.33988,0.02,FullServiceRestaurant,Normal
5,22.18264867,3.586220833,0.013197179,0.0,4.58992533,8.1892,130.5649421,121.6231847,8.3497,0.592057441,FullServiceRestaurant,Normal
6,38.13184509,3.586220833,0.007371036,0.0,9.179850659,19.4245,140.4354538,117.967915,16.6994,5.768138785,FullServiceRestaurant,Normal
7,45.59727804,3.586220833,0.007450454,0.0,9.179850659,26.9147,135.4560171,105.2134576,25.0491,5.193459464,FullServiceRestaurant,Normal
8,45.60364653,3.586220833,0.0,0.0,9.179850659,26.9147,145.5750769,106.4078096,33.3988,5.768467288,FullServiceRestaurant,Normal
9,38.11376101,3.586220833,0.0,0.0,9.179850659,19.4245,147.6959009,116.8790141,25.0491,5.767786783,FullServiceRestaurant,Normal
10,42.4352012,3.586220833,0.008012798,0.0,9.179850659,26.9147,177.5022984,117.6999854,41.7485,18.05381301,FullServiceRestaurant,Normal
11,42.1437099,3.586220833,0.0,0.0,9.179850659,26.9147,176.3227494,115.9380379,41.7485,18.63621145,FullServiceRestaurant,Normal
12,41.41962073,3.586220833,0.0,0.0,9.179850659,26.9147,167.5286575,111.2660792,41.7485,14.51407826,FullServiceRestaurant,Normal
13,33.89704606,3.586220833,0.0,0.0,9.179850659,19.4245,158.680649,110.7681901,33.3988,14.51365892,FullServiceRestaurant,Normal
