0,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Class,theft
0,22.03597732,3.586220833,0,0,4.58992533,8.1892,136.5859027,123.9990759,3.33988,9.246946778,FullServiceRestaurant,Normal
1,14.64975748,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
2,14.66956666,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
3,14.67780801,0,0,0,1.52997511,7.4902,3.931931506,0,3.33988,0.592051506,FullServiceRestaurant,Normal
4,14.8247939,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
5,22.18264867,3.586220833,0.013197179,0,4.58992533,8.1892,130.5649421,121.6231847,8.3497,0.592057441,FullServiceRestaurant,Normal
6,38.13184509,3.586220833,0.007371036,0,9.179850659,19.4245,140.4354538,117.967915,16.6994,5.768138785,FullServiceRestaurant,Normal
7,45.59727804,3.586220833,0.007450454,0,9.179850659,26.9147,135.4560171,105.2134576,25.0491,5.193459464,FullServiceRestaurant,Normal
8,45.60364653,3.586220833,0,0,9.179850659,26.9147,145.5750769,106.4078096,33.3988,5.768467288,FullServiceRestaurant,Normal
9,38.11376101,3.586220833,0,0,9.179850659,19.4245,147.6959009,116.8790141,25.0491,5.767786783,FullServiceRestaurant,Normal
10,42.4352012,3.586220833,0.008012798,0,9.179850659,26.9147,177.5022984,117.6999854,41.7485,18.05381301,FullServiceRestaurant,Normal
11,42.1437099,3.586220833,0,0,9.179850659,26.9147,176.3227494,115.9380379,41.7485,18.63621145,FullServiceRestaurant,Normal
12,41.41962073,3.586220833,0,0,9.179850659,26.9147,167.5286575,111.2660792,41.7485,14.51407826,FullServiceRestaurant,Normal
13,33.89704606,3.586220833,0,0,9.179850659,19.4245,158.680649,110.7681901,33.3988,14.51365892,FullServiceRestaurant,Normal
14,33.89764389,3.586220833,0,0,9.179850659,19.4245,153.2839968,117.239112,25.0491,10.9957848,FullServiceRestaurant,Normal
15,36.00133359,3.586220833,0,0,9.179850659,19.4245,167.3348971,122.9381038,33.3988,10.99799331,FullServiceRestaurant,Normal
16,45.54644716,3.586220833,0.005751574,0,9.179850659,26.9147,185.4351957,124.3394303,50.0982,10.99756538,FullServiceRestaurant,Normal
17,45.55135973,3.586220833,0,0,9.179850659,26.9147,190.0373937,125.4255895,50.0982,14.51360419,FullServiceRestaurant,Normal
18,45.55679431,3.586220833,0,0,9.179850659,26.9147,193.6670575,124.9314663,50.0982,18.63739126,FullServiceRestaurant,Normal
19,38.19976737,3.586220833,0,0,9.179850659,19.4245,172.867008,121.4151244,33.3988,18.0530836,FullServiceRestaurant,Normal
20,38.18202589,3.586220833,0,0,9.179850659,19.4245,167.0888198,119.1771374,33.3988,14.5128824,FullServiceRestaurant,Normal
21,38.11299043,3.586220833,0,0,9.179850659,19.4245,174.8424699,131.7403991,25.0491,18.05297083,FullServiceRestaurant,Normal
22,38.00435973,3.586220833,0,0,9.179850659,19.4245,169.5218912,137.7268237,16.6994,15.09566753,FullServiceRestaurant,Normal
23,38.81510782,3.586220833,0,0,9.179850659,19.4245,153.8724665,138.017477,8.3497,7.505289457,FullServiceRestaurant,Normal
24,22.05446109,3.586220833,0,0,4.58992533,8.1892,158.0636608,147.7940647,3.33988,6.929716124,FullServiceRestaurant,Normal
25,14.61348165,0,0,0,1.52997511,7.4902,3.931972005,0,3.33988,0.592092005,FullServiceRestaurant,Normal
26,14.63021954,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
27,14.64225703,0,0,0,1.52997511,7.4902,3.931926177,0,3.33988,0.592046177,FullServiceRestaurant,Normal
28,14.79326476,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02,FullServiceRestaurant,Normal
29,22.16287453,3.586220833,0.00586912,0,4.58992533,8.1892,165.2225549,156.2808027,8.3497,0.59205212,FullServiceRestaurant,Normal
